id,Region_Code,Region,Area_Code,Area,Electorate,ExpectedBallots,VerifiedBallotPapers,Pct_Turnout,Votes_Cast,Valid_Votes,Remain,Leave,Rejected_Ballots,No_official_mark,Voting_for_both_answers,Writing_or_mark,Unmarked_or_void,Pct_Remain,Pct_Leave,Pct_Rejected
303,E12000006,East,E07000147,North Norfolk,83065,63841,63838,76.84,63829,63790,26214,37576,39,0,4,2,33,41.09,58.91,0.06
304,E12000006,East,E07000148,Norwich,96091,66420,66423,69.12,66422,66366,37326,29040,56,0,17,1,38,56.24,43.76,0.08
305,E12000006,East,E07000149,South Norfolk,102395,80418,80418,78.54,80418,80358,38817,41541,60,0,24,1,35,48.31,51.69,0.07
345,E12000006,East,E07000200,Babergh,70628,55274,55274,78.26,55272,55242,25309,29933,30,0,13,0,17,45.81,54.19,0.05
346,E12000006,East,E07000201,Forest Heath,38527,27976,27977,72.62,27977,27951,9791,18160,26,2,4,2,18,35.03,64.97,0.09
347,E12000006,East,E07000202,Ipswich,91574,66405,66405,72.51,66400,66353,27698,38655,47,0,1,7,39,41.74,58.26,0.07
348,E12000006,East,E07000203,Mid Suffolk,78325,61231,61231,78.16,61222,61185,27391,33794,37,0,4,0,33,44.77,55.23,0.06
349,E12000006,East,E07000204,St Edmundsbury,81148,62258,62256,76.72,62255,62210,26986,35224,45,1,14,0,30,43.38,56.62,0.07
350,E12000006,East,E07000205,Suffolk Coastal,98195,79234,79231,80.68,79226,79184,37218,41966,42,0,15,3,24,47.0,53.0,0.05
351,E12000006,East,E07000206,Waveney,90391,65690,65687,72.67,65687,65646,24356,41290,41,0,11,0,30,37.1,62.9,0.06
256,E12000006,East,E07000240,St Albans,104859,86519,86516,82.51,86524,86445,54208,32237,79,0,31,0,48,62.71,37.29,0.09
260,E12000006,East,E07000241,Welwyn Hatfield,78146,58649,58641,75.04,58641,58610,27550,31060,31,0,10,0,21,47.01,52.99,0.05
253,E12000006,East,E07000242,East Hertfordshire,106260,85446,85435,80.4,85433,85366,42372,42994,67,0,26,5,36,49.64,50.36,0.08
257,E12000006,East,E07000243,Stevenage,62156,45811,45811,73.7,45811,45785,18659,27126,26,0,12,2,12,40.75,59.25,0.06
88,E12000004,East Midlands,E06000015,Derby,171246,120807,120798,70.53,120772,120655,51612,69043,117,0,41,10,66,42.78,57.22,0.1
89,E12000004,East Midlands,E06000016,Leicester,213819,139319,139309,65.15,139307,138972,70980,67992,335,0,154,8,173,51.08,48.92,0.24
90,E12000004,East Midlands,E06000017,Rutland,29390,22989,22986,78.2,22984,22966,11353,11613,18,0,9,2,7,49.43,50.57,0.08
91,E12000004,East Midlands,E06000018,Nottingham,195394,120792,120792,61.82,120791,120661,59318,61343,130,0,47,4,79,49.16,50.84,0.11
195,E12000004,East Midlands,E07000032,Amber Valley,96760,73870,73868,76.34,73864,73820,29319,44501,44,0,7,1,36,39.72,60.28,0.06
196,E12000004,East Midlands,E07000033,Bolsover,58063,41999,42000,72.33,41999,41972,12242,29730,27,0,5,1,21,29.17,70.83,0.06
197,E12000004,East Midlands,E07000034,Chesterfield,79905,57472,57470,71.92,57470,57424,22946,34478,46,0,16,2,28,39.96,60.04,0.08
198,E12000004,East Midlands,E07000035,Derbyshire Dales,57075,46756,46756,81.92,46756,46728,22633,24095,28,0,5,0,23,48.44,51.56,0.06
199,E12000004,East Midlands,E07000036,Erewash,87596,66566,66566,75.99,66566,66530,25791,40739,36,0,15,1,20,38.77,61.23,0.05
200,E12000004,East Midlands,E07000037,High Peak,72487,54864,54864,75.69,54864,54833,27116,27717,31,0,10,3,18,49.45,50.55,0.06
201,E12000004,East Midlands,E07000038,North East Derbyshire,78855,59341,59341,75.25,59341,59310,22075,37235,31,0,13,2,16,37.22,62.78,0.05
202,E12000004,East Midlands,E07000039,South Derbyshire,73856,56718,56718,76.8,56718,56695,22479,34216,23,0,5,0,18,39.65,60.35,0.04
285,E12000004,East Midlands,E07000129,Blaby,73832,56517,56514,76.54,56512,56471,22888,33583,41,0,13,2,26,40.53,59.47,0.07
286,E12000004,East Midlands,E07000130,Charnwood,133780,94265,94258,70.46,94257,94172,43500,50672,85,0,47,0,38,46.19,53.81,0.09
287,E12000004,East Midlands,E07000131,Harborough,67420,54922,54918,81.44,54910,54878,27028,27850,32,0,1,2,29,49.25,50.75,0.06
288,E12000004,East Midlands,E07000132,Hinckley and Bosworth,85305,65517,65516,76.8,65516,65470,25969,39501,46,0,6,0,40,39.67,60.33,0.07
289,E12000004,East Midlands,E07000133,Melton,37273,30322,30322,81.36,30327,30305,12695,17610,22,0,9,1,12,41.89,58.11,0.07
290,E12000004,East Midlands,E07000134,North West Leicestershire,73944,57655,57655,77.95,57638,57611,22642,34969,27,0,6,0,21,39.3,60.7,0.05
291,E12000004,East Midlands,E07000135,Oadby and Wigston,42684,31488,31488,73.77,31489,31465,14292,17173,24,0,9,0,15,45.42,54.58,0.08
292,E12000004,East Midlands,E07000136,Boston,39363,30417,30417,77.27,30416,30404,7430,22974,12,0,1,1,10,24.44,75.56,0.04
293,E12000004,East Midlands,E07000137,East Lindsey,107009,80180,80179,74.93,80178,80128,23515,56613,50,2,21,0,27,29.35,70.65,0.06
294,E12000004,East Midlands,E07000138,Lincoln,63351,43928,43928,69.34,43928,43894,18902,24992,34,0,17,0,17,43.06,56.94,0.08
295,E12000004,East Midlands,E07000139,North Kesteven,86468,67791,67791,78.4,67791,67753,25570,42183,38,0,13,1,24,37.74,62.26,0.06
296,E12000004,East Midlands,E07000140,South Holland,65701,49518,49518,75.37,49518,49497,13074,36423,21,0,8,0,13,26.41,73.59,0.04
297,E12000004,East Midlands,E07000141,South Kesteven,105457,82527,82525,78.25,82523,82471,33047,49424,52,0,14,4,34,40.07,59.93,0.06
298,E12000004,East Midlands,E07000142,West Lindsey,73499,54785,54781,74.53,54781,54753,20906,33847,28,0,7,4,17,38.18,61.82,0.05
306,E12000004,East Midlands,E07000150,Corby,43313,32103,32100,74.1,32097,32081,11470,20611,16,0,4,0,12,35.75,64.25,0.05
307,E12000004,East Midlands,E07000151,Daventry,61004,49421,49420,81.01,49420,49381,20443,28938,39,0,10,2,27,41.4,58.6,0.08
308,E12000004,East Midlands,E07000152,East Northamptonshire,68334,52619,52614,76.99,52607,52574,21680,30894,33,0,6,2,25,41.24,58.76,0.06
309,E12000004,East Midlands,E07000153,Kettering,70570,53946,53941,76.43,53940,53907,21030,32877,33,1,12,0,20,39.01,60.99,0.06
310,E12000004,East Midlands,E07000154,Northampton,144948,105352,105350,72.68,105354,105259,43805,61454,95,0,35,7,53,41.62,58.38,0.09
311,E12000004,East Midlands,E07000155,South Northamptonshire,71309,56666,56659,79.46,56664,56624,25853,30771,40,0,18,1,21,45.66,54.34,0.07
312,E12000004,East Midlands,E07000156,Wellingborough,54572,41184,41177,75.46,41178,41141,15462,25679,37,0,18,2,17,37.58,62.42,0.09
320,E12000004,East Midlands,E07000170,Ashfield,91916,66948,66947,72.83,66946,66899,20179,46720,47,1,15,1,30,30.16,69.84,0.07
321,E12000004,East Midlands,E07000171,Bassetlaw,85547,64006,64005,74.82,64003,63967,20575,43392,36,1,10,5,20,32.17,67.83,0.06
322,E12000004,East Midlands,E07000172,Broxtowe,83593,65468,65468,78.32,65468,65426,29672,35754,42,0,8,1,33,45.35,54.65,0.06
323,E12000004,East Midlands,E07000173,Gedling,88298,67639,67635,76.6,67635,67577,30035,37542,58,2,17,1,38,44.45,55.55,0.09
324,E12000004,East Midlands,E07000174,Mansfield,77624,56371,56369,72.62,56370,56344,16417,39927,26,0,8,0,18,29.14,70.86,0.05
325,E12000004,East Midlands,E07000175,Newark and Sherwood,87338,67133,67128,76.86,67128,67087,26571,40516,41,0,14,2,25,39.61,60.39,0.06
326,E12000004,East Midlands,E07000176,Rushcliffe,86401,70472,70470,81.56,70470,70410,40522,29888,60,0,20,0,40,57.55,42.45,0.09
1,E12000007,London,E09000001,City of London,5987,4405,4405,73.58,4405,4399,3312,1087,6,0,2,0,4,75.29,24.71,0.14
2,E12000007,London,E09000002,Barking and Dagenham,115812,73943,73941,63.85,73941,73880,27750,46130,61,0,21,0,40,37.56,62.44,0.08
3,E12000007,London,E09000003,Barnet,223467,161209,161208,72.14,161218,161033,100210,60823,185,0,54,12,119,62.23,37.77,0.11
4,E12000007,London,E09000004,Bexley,170779,128571,128570,75.28,128570,128489,47603,80886,81,5,35,0,41,37.05,62.95,0.06
5,E12000007,London,E09000005,Brent,186793,121676,121678,65.14,121671,121404,72523,48881,267,0,157,0,110,59.74,40.26,0.22
6,E12000007,London,E09000006,Bromley,231473,182570,182570,78.87,182570,182432,92398,90034,138,0,43,0,95,50.65,49.35,0.08
7,E12000007,London,E09000007,Camden,145425,95288,95282,65.52,95281,95133,71295,23838,148,0,54,8,86,74.94,25.06,0.16
8,E12000007,London,E09000008,Croydon,245349,171295,171292,69.81,171289,171134,92913,78221,155,0,73,5,77,54.29,45.71,0.09
9,E12000007,London,E09000009,Ealing,212991,149267,149267,70.08,149268,149041,90024,59017,227,0,115,3,109,60.4,39.6,0.15
10,E12000007,London,E09000010,Enfield,198387,137054,137056,69.09,137056,136906,76425,60481,150,0,69,1,80,55.82,44.18,0.11
11,E12000007,London,E09000011,Greenwich,168967,117470,117472,69.52,117470,117365,65248,52117,105,0,35,1,69,55.59,44.41,0.09
12,E12000007,London,E09000012,Hackney,163284,106422,106422,65.18,106422,106266,83398,22868,156,7,44,35,70,78.48,21.52,0.15
13,E12000007,London,E09000013,Hammersmith and Fulham,114863,80351,80350,69.95,80347,80242,56188,24054,105,0,32,8,65,70.02,29.98,0.13
14,E12000007,London,E09000014,Haringey,150098,106043,106034,70.64,106032,105846,79991,25855,186,0,71,0,115,75.57,24.43,0.18
15,E12000007,London,E09000015,Harrow,162397,117363,117361,72.26,117352,117225,64042,53183,127,0,50,6,71,54.63,45.37,0.11
16,E12000007,London,E09000016,Havering,183082,139179,139176,76.02,139175,139086,42201,96885,89,1,25,1,62,30.34,69.66,0.06
17,E12000007,London,E09000017,Hillingdon,193033,133171,133171,68.99,133170,133022,58040,74982,148,0,55,16,77,43.63,56.37,0.11
18,E12000007,London,E09000018,Hounslow,165050,115211,115209,69.8,115208,115076,58755,56321,132,0,39,6,87,51.06,48.94,0.11
19,E12000007,London,E09000019,Islington,144514,101739,101726,70.39,101723,101600,76420,25180,123,0,47,2,74,75.22,24.78,0.12
20,E12000007,London,E09000020,Kensington and Chelsea,83042,54803,54801,65.99,54801,54739,37601,17138,62,0,14,2,46,68.69,31.31,0.11
21,E12000007,London,E09000021,Kingston upon Thames,108838,85334,85335,78.4,85330,85270,52533,32737,60,0,16,3,41,61.61,38.39,0.07
22,E12000007,London,E09000022,Lambeth,210800,142162,142162,67.44,142162,141924,111584,30340,238,0,104,0,134,78.62,21.38,0.17
23,E12000007,London,E09000023,Lewisham,197514,124634,124622,63.1,124637,124473,86955,37518,164,0,61,1,102,69.86,30.14,0.13
24,E12000007,London,E09000024,Merton,136352,100215,100207,73.49,100207,100100,63003,37097,107,0,45,0,62,62.94,37.06,0.11
25,E12000007,London,E09000025,Newham,176985,104869,104861,59.25,104864,104699,55328,49371,165,9,87,0,69,52.84,47.16,0.16
26,E12000007,London,E09000026,Redbridge,189843,128439,128423,67.63,128397,128233,69213,59020,164,0,78,3,83,53.97,46.03,0.13
27,E12000007,London,E09000027,Richmond upon Thames,132632,108892,108888,82.09,108876,108806,75396,33410,70,0,26,2,42,69.29,30.71,0.06
28,E12000007,London,E09000028,Southwark,195875,129688,129680,66.2,129677,129502,94293,35209,175,0,60,5,110,72.81,27.19,0.13
29,E12000007,London,E09000029,Sutton,140288,106633,106630,76.01,106633,106560,49319,57241,73,0,25,7,41,46.28,53.72,0.07
30,E12000007,London,E09000030,Tower Hamlets,167820,108421,108403,64.6,108420,108235,73011,35224,185,0,105,6,74,67.46,32.54,0.17
31,E12000007,London,E09000031,Waltham Forest,162983,108695,108689,66.69,108689,108551,64156,44395,138,4,44,9,81,59.1,40.9,0.13
32,E12000007,London,E09000032,Wandsworth,219521,158018,158018,71.98,158018,157884,118463,39421,134,0,55,0,79,75.03,24.97,0.08
33,E12000007,London,E09000033,Westminster,120524,78325,78325,64.99,78325,78196,53928,24268,129,0,47,1,81,68.97,31.03,0.16
70,E12000001,North East,E06000001,Hartlepool,70341,46137,46134,65.59,46134,46100,14029,32071,34,0,12,6,16,30.43,69.57,0.07
71,E12000001,North East,E06000002,Middlesbrough,94612,61395,61393,64.89,61393,61358,21181,40177,35,0,16,1,18,34.52,65.48,0.06
72,E12000001,North East,E06000003,Redcar and Cleveland,103529,72741,72741,70.26,72741,72714,24586,48128,27,0,6,0,21,33.81,66.19,0.04
73,E12000001,North East,E06000004,Stockton-on-Tees,141486,100462,100460,71.0,100460,100415,38433,61982,45,2,13,2,28,38.27,61.73,0.04
74,E12000001,North East,E06000005,Darlington,77662,55194,55195,71.07,55195,55166,24172,30994,29,0,0,0,29,43.82,56.18,0.05
75,E12000001,North East,E06000047,County Durham,389507,267577,267546,68.69,267546,267398,113521,153877,148,3,35,1,109,42.45,57.55,0.06
76,E12000001,North East,E06000057,Northumberland,240496,178830,178815,74.35,178815,178721,82022,96699,94,3,30,6,55,45.89,54.11,0.05
54,E12000001,North East,E08000021,Newcastle upon Tyne,190735,129072,129072,67.67,129072,129003,65405,63598,69,0,20,5,44,50.7,49.3,0.05
55,E12000001,North East,E08000022,North Tyneside,156993,113527,113507,72.3,113507,113462,52873,60589,45,0,17,3,25,46.6,53.4,0.04
56,E12000001,North East,E08000023,South Tyneside,115893,79126,79117,68.27,79117,79079,30014,49065,38,0,10,1,27,37.95,62.05,0.05
57,E12000001,North East,E08000024,Sunderland,207221,134404,134400,64.86,134400,134324,51930,82394,76,0,13,2,61,38.66,61.34,0.06
53,E12000001,North East,E08000037,Gateshead,145866,103009,103007,70.62,103007,102958,44429,58529,49,0,13,3,33,43.15,56.85,0.05
78,E12000002,North West,E06000006,Halton,95289,65047,65047,68.26,65047,65005,27678,37327,42,0,7,1,34,42.58,57.42,0.06
79,E12000002,North West,E06000007,Warrington,157042,115206,115206,73.36,115205,115144,52657,62487,61,0,17,1,43,45.73,54.27,0.05
81,E12000002,North West,E06000008,Blackburn with Darwen,100117,65416,65408,65.33,65408,65321,28522,36799,87,0,40,4,43,43.66,56.34,0.13
82,E12000002,North West,E06000009,Blackpool,102354,66959,66959,65.42,66959,66927,21781,45146,32,0,8,3,21,32.54,67.46,0.05
77,E12000002,North West,E06000049,Cheshire East,285957,221229,221229,77.36,221229,221125,107962,113163,104,19,40,3,42,48.82,51.18,0.05
80,E12000002,North West,E06000050,Cheshire West and Chester,259878,193640,193633,74.51,193633,193537,95455,98082,96,0,27,11,58,49.32,50.68,0.05
189,E12000002,North West,E07000026,Allerdale,74426,54268,54268,72.92,54268,54238,22429,31809,30,0,13,0,17,41.35,58.65,0.06
190,E12000002,North West,E07000027,Barrow-in-Furness,53194,36104,36101,67.87,36101,36074,14207,21867,27,0,9,0,18,39.38,60.62,0.07
191,E12000002,North West,E07000028,Carlisle,80124,59723,59721,74.54,59721,59683,23788,35895,38,0,13,2,23,39.86,60.14,0.06
192,E12000002,North West,E07000029,Copeland,54206,37974,37975,70.06,37975,37947,14419,23528,28,0,9,3,16,38.0,62.0,0.07
193,E12000002,North West,E07000030,Eden,41872,31746,31746,75.82,31746,31718,14807,16911,28,0,12,1,15,46.68,53.32,0.09
194,E12000002,North West,E07000031,South Lakeland,81948,65375,65375,79.78,65375,65331,34531,30800,44,0,12,2,30,52.86,47.14,0.07
273,E12000002,North West,E07000117,Burnley,64461,43354,43350,67.25,43350,43316,14462,28854,34,0,11,0,23,33.39,66.61,0.08
274,E12000002,North West,E07000118,Chorley,84159,63564,63562,75.52,63560,63515,27417,36098,45,4,6,5,30,43.17,56.83,0.07
275,E12000002,North West,E07000119,Fylde,61174,46227,46227,75.57,46227,46206,19889,26317,21,0,5,1,15,43.04,56.96,0.05
276,E12000002,North West,E07000120,Hyndburn,62042,40173,40168,64.74,40168,40137,13569,26568,31,0,13,3,15,33.81,66.19,0.08
277,E12000002,North West,E07000121,Lancaster,100567,73102,73098,72.69,73098,73041,35732,37309,57,0,12,2,43,48.92,51.08,0.08
278,E12000002,North West,E07000122,Pendle,64534,45389,45388,70.33,45388,45335,16704,28631,53,0,15,7,31,36.85,63.15,0.12
279,E12000002,North West,E07000123,Preston,94284,64794,64794,68.72,64794,64745,30227,34518,49,2,19,0,28,46.69,53.31,0.08
280,E12000002,North West,E07000124,Ribble Valley,46148,36473,36466,79.02,36466,36442,15892,20550,24,3,6,1,14,43.61,56.39,0.07
281,E12000002,North West,E07000125,Rossendale,52750,38205,38204,72.43,38205,38181,15012,23169,24,0,9,1,14,39.32,60.68,0.06
282,E12000002,North West,E07000126,South Ribble,84573,63756,63755,75.38,63755,63724,26406,37318,31,0,15,2,14,41.44,58.56,0.05
283,E12000002,North West,E07000127,West Lancashire,85834,63921,63918,74.47,63918,63869,28546,35323,49,0,13,1,35,44.69,55.31,0.08
284,E12000002,North West,E07000128,Wyre,84471,63031,63028,74.61,63028,62979,22816,40163,49,3,19,8,19,36.23,63.77,0.08
34,E12000002,North West,E08000001,Bolton,197109,138206,138180,70.1,138180,138080,57589,80491,100,2,43,2,53,41.71,58.29,0.07
35,E12000002,North West,E08000002,Bury,141600,101153,101144,71.43,101144,101028,46354,54674,116,0,34,10,72,45.88,54.12,0.11
36,E12000002,North West,E08000003,Manchester,338064,202073,202067,59.77,202067,201814,121823,79991,253,0,78,0,175,60.36,39.64,0.13
37,E12000002,North West,E08000004,Oldham,158084,107493,107493,68.0,107493,107403,42034,65369,90,0,24,2,64,39.14,60.86,0.08
38,E12000002,North West,E08000005,Rochdale,156621,103319,103319,65.97,103319,103231,41217,62014,88,0,48,2,38,39.93,60.07,0.09
39,E12000002,North West,E08000006,Salford,173668,109926,109926,63.3,109926,109815,47430,62385,111,0,34,4,73,43.19,56.81,0.1
40,E12000002,North West,E08000007,Stockport,221162,163586,163584,73.97,163584,163489,85559,77930,95,0,27,4,64,52.33,47.67,0.06
41,E12000002,North West,E08000008,Tameside,168047,111018,111016,66.06,111016,110947,43118,67829,69,0,14,5,50,38.86,61.14,0.06
42,E12000002,North West,E08000009,Trafford,165294,125400,125400,75.86,125400,125311,72293,53018,89,0,23,5,61,57.69,42.31,0.07
43,E12000002,North West,E08000010,Wigan,235982,163381,163381,69.23,163381,163273,58942,104331,108,7,32,2,67,36.1,63.9,0.07
44,E12000002,North West,E08000011,Knowsley,111647,70939,70937,63.54,70937,70903,34345,36558,34,4,14,1,15,48.44,51.56,0.05
45,E12000002,North West,E08000012,Liverpool,317924,203733,203728,64.08,203728,203554,118453,85101,174,0,60,4,110,58.19,41.81,0.09
46,E12000002,North West,E08000013,St. Helens,136096,93730,93721,68.86,93721,93679,39322,54357,42,0,13,3,26,41.98,58.02,0.04
47,E12000002,North West,E08000014,Sefton,206298,147970,147970,71.73,147970,147878,76702,71176,92,0,26,0,66,51.87,48.13,0.06
48,E12000002,North West,E08000015,Wirral,242568,172137,172137,70.96,172137,172000,88931,83069,137,0,31,4,102,51.7,48.3,0.08
381,N92000002,Northern Ireland,N92000002,Northern Ireland,1260955,790647,790523,62.69,790523,790149,440707,349442,374,18,148,1,207,55.78,44.22,0.05
153,S92000003,Scotland,S12000005,Clackmannanshire,37841,25439,25439,67.23,25439,25427,14691,10736,12,0,6,0,6,57.78,42.22,0.05
155,S92000003,Scotland,S12000006,Dumfries and Galloway,115837,82718,82715,71.41,82715,82667,43864,38803,48,0,13,1,34,53.06,46.94,0.06
157,S92000003,Scotland,S12000008,East Ayrshire,91977,57859,57859,62.91,57859,57833,33891,23942,26,0,8,0,18,58.6,41.4,0.04
159,S92000003,Scotland,S12000010,East Lothian,77788,55822,55800,71.73,55800,55764,36026,19738,36,0,12,0,24,64.6,35.4,0.06
160,S92000003,Scotland,S12000011,East Renfrewshire,69575,52970,52969,76.13,52969,52941,39345,13596,28,0,7,0,21,74.32,25.68,0.05
179,S92000003,Scotland,S12000013,Eilean Siar,21259,14919,14919,70.18,14919,14903,8232,6671,16,0,3,0,13,55.24,44.76,0.11
162,S92000003,Scotland,S12000014,Falkirk,117392,79304,79302,67.55,79302,79258,44987,34271,44,0,7,2,35,56.76,43.24,0.06
163,S92000003,Scotland,S12000015,Fife,272995,182307,182307,66.78,182307,182220,106754,75466,87,2,29,4,52,58.59,41.41,0.05
165,S92000003,Scotland,S12000017,Highland,175563,125728,125728,71.61,125728,125657,70308,55349,71,0,27,2,42,55.95,44.05,0.06
166,S92000003,Scotland,S12000018,Inverclyde,58624,38722,38722,66.05,38722,38698,24688,14010,24,0,6,0,18,63.8,36.2,0.06
167,S92000003,Scotland,S12000019,Midlothian,66758,45505,45497,68.15,45497,45468,28217,17251,29,0,8,0,21,62.06,37.94,0.06
168,S92000003,Scotland,S12000020,Moray,71370,48148,48139,67.45,48139,48106,24114,23992,33,0,16,3,14,50.13,49.87,0.07
169,S92000003,Scotland,S12000021,North Ayrshire,104572,67548,67548,64.59,67548,67504,38394,29110,44,0,16,0,28,56.88,43.12,0.07
171,S92000003,Scotland,S12000023,Orkney Islands,16658,11402,11402,68.45,11402,11382,7189,4193,20,0,8,0,12,63.16,36.84,0.18
172,S92000003,Scotland,S12000024,Perth and Kinross,110224,81294,81294,73.75,81294,81255,49641,31614,39,1,14,0,24,61.09,38.91,0.05
152,S92000003,Scotland,S12000026,Scottish Borders,88440,64953,64953,73.44,64953,64914,37952,26962,39,0,14,0,25,58.47,41.53,0.06
174,S92000003,Scotland,S12000027,Shetland Islands,17375,12231,12231,70.39,12231,12222,6907,5315,9,0,2,0,7,56.51,43.49,0.07
175,S92000003,Scotland,S12000028,South Ayrshire,88116,61542,61542,69.84,61542,61506,36265,25241,36,0,14,2,20,58.96,41.04,0.06
176,S92000003,Scotland,S12000029,South Lanarkshire,248949,162691,162683,65.35,162683,162592,102568,60024,91,0,30,1,60,63.08,36.92,0.06
177,S92000003,Scotland,S12000030,Stirling,66100,48931,48931,74.03,48931,48899,33112,15787,32,0,11,1,20,67.72,32.28,0.07
148,S92000003,Scotland,S12000033,Aberdeen City,154266,104809,104809,67.94,104809,104714,63985,40729,95,0,34,2,59,61.1,38.9,0.09
149,S92000003,Scotland,S12000034,Aberdeenshire,196809,139014,139014,70.63,139014,138961,76445,62516,53,0,19,1,33,55.01,44.99,0.04
151,S92000003,Scotland,S12000035,Argyll and Bute,66642,48734,48734,73.13,48734,48696,29494,19202,38,0,16,1,21,60.57,39.43,0.08
161,S92000003,Scotland,S12000036,City of Edinburgh,346073,252490,252481,72.96,252481,252294,187796,64498,187,0,71,1,115,74.44,25.56,0.07
173,S92000003,Scotland,S12000038,Renfrewshire,127294,88203,88197,69.29,88197,88129,57119,31010,68,0,17,5,46,64.81,35.19,0.08
154,S92000003,Scotland,S12000039,West Dunbartonshire,67595,43250,43245,63.98,43245,43220,26794,16426,25,0,9,0,16,61.99,38.01,0.06
